x,y
927.0,673.0
934.0,679.0
944.0,687.0
950.0,695.0
958.0,707.0
963.0,715.0
969.0,722.0
975.0,728.0
983.0,736.0
990.0,743.0
996.0,750.0
1001.0,755.0
412.0,145.0
403.0,126.0
389.0,116.0
379.0,96.0
375.0,103.0
369.0,87.0
361.0,84.0
354.0,78.0
342.0,64.0
337.0,60.0
793.0,565.0
787.0,564.0
796.0,575.0
804.0,583.0
281.0,14.0
282.0,26.0
294.0,22.0
301.0,35.0
313.0,46.0
327.0,57.0
339.0,72.0
350.0,82.0
366.0,97.0
386.0,110.0
398.0,131.0
419.0,151.0
428.0,160.0
436.0,170.0
447.0,185.0
463.0,202.0
480.0,213.0
495.0,228.0
510.0,242.0
521.0,253.0
529.0,263.0
539.0,273.0
553.0,289.0
562.0,299.0
571.0,309.0
584.0,322.0
597.0,333.0
606.0,343.0
617.0,356.0
627.0,367.0
634.0,376.0
643.0,383.0
650.0,392.0
657.0,401.0
667.0,413.0
676.0,424.0
684.0,434.0
689.0,439.0
693.0,446.0
702.0,454.0
709.0,461.0
713.0,468.0
719.0,476.0
727.0,486.0
725.0,483.0
733.0,492.0
739.0,500.0
743.0,509.0
752.0,517.0
759.0,525.0
771.0,536.0
765.0,531.0
777.0,542.0
781.0,547.0
787.0,554.0
798.0,559.0
796.0,562.0
802.0,570.0
807.0,574.0
817.0,582.0
827.0,588.0
834.0,594.0
842.0,600.0
854.0,606.0
863.0,616.0
871.0,623.0
883.0,636.0
891.0,647.0
900.0,656.0
906.0,661.0
909.0,663.0
914.0,667.0
919.0,668.0
927.0,678.0
927.0,673.0
934.0,679.0
944.0,687.0
950.0,695.0
958.0,707.0
963.0,715.0
969.0,722.0
975.0,728.0
983.0,736.0
990.0,743.0
996.0,750.0
1001.0,755.0
412.0,145.0
403.0,126.0
389.0,116.0
379.0,96.0
375.0,103.0
369.0,87.0
361.0,84.0
354.0,78.0
342.0,64.0
337.0,60.0
793.0,565.0
787.0,564.0
796.0,575.0
804.0,583.0
281.0,14.0
282.0,26.0
294.0,22.0
301.0,35.0
313.0,46.0
327.0,57.0
339.0,72.0
350.0,82.0
366.0,97.0
386.0,110.0
398.0,131.0
419.0,151.0
428.0,160.0
436.0,170.0
447.0,185.0
463.0,202.0
480.0,213.0
495.0,228.0
510.0,242.0
521.0,253.0
529.0,263.0
539.0,273.0
553.0,289.0
562.0,299.0
571.0,309.0
584.0,322.0
597.0,333.0
606.0,343.0
617.0,356.0
627.0,367.0
634.0,376.0
643.0,383.0
650.0,392.0
657.0,401.0
667.0,413.0
676.0,424.0
684.0,434.0
689.0,439.0
693.0,446.0
702.0,454.0
709.0,461.0
713.0,468.0
719.0,476.0
727.0,486.0
725.0,483.0
733.0,492.0
739.0,500.0
743.0,509.0
752.0,517.0
759.0,525.0
771.0,536.0
765.0,531.0
777.0,542.0
781.0,547.0
787.0,554.0
798.0,559.0
796.0,562.0
802.0,570.0
807.0,574.0
817.0,582.0
827.0,588.0
834.0,594.0
842.0,600.0
854.0,606.0
863.0,616.0
871.0,623.0
883.0,636.0
891.0,647.0
900.0,656.0
906.0,661.0
909.0,663.0
914.0,667.0
919.0,668.0
927.0,678.0
927.0,673.0
934.0,679.0
944.0,687.0
950.0,695.0
958.0,707.0
963.0,715.0
969.0,722.0
975.0,728.0
983.0,736.0
990.0,743.0
996.0,750.0
1001.0,755.0
412.0,145.0
403.0,126.0
389.0,116.0
379.0,96.0
375.0,103.0
369.0,87.0
361.0,84.0
354.0,78.0
342.0,64.0
337.0,60.0
793.0,565.0
787.0,564.0
796.0,575.0
804.0,583.0
281.0,14.0
282.0,26.0
294.0,22.0
301.0,35.0
313.0,46.0
327.0,57.0
339.0,72.0
350.0,82.0
366.0,97.0
386.0,110.0
398.0,131.0
419.0,151.0
428.0,160.0
436.0,170.0
447.0,185.0
463.0,202.0
480.0,213.0
495.0,228.0
510.0,242.0
521.0,253.0
529.0,263.0
539.0,273.0
553.0,289.0
562.0,299.0
571.0,309.0
584.0,322.0
597.0,333.0
606.0,343.0
617.0,356.0
627.0,367.0
634.0,376.0
643.0,383.0
650.0,392.0
657.0,401.0
667.0,413.0
676.0,424.0
684.0,434.0
689.0,439.0
693.0,446.0
702.0,454.0
709.0,461.0
713.0,468.0
719.0,476.0
727.0,486.0
725.0,483.0
733.0,492.0
739.0,500.0
743.0,509.0
752.0,517.0
759.0,525.0
771.0,536.0
765.0,531.0
777.0,542.0
781.0,547.0
787.0,554.0
798.0,559.0
796.0,562.0
802.0,570.0
807.0,574.0
817.0,582.0
827.0,588.0
834.0,594.0
842.0,600.0
854.0,606.0
863.0,616.0
871.0,623.0
883.0,636.0
891.0,647.0
900.0,656.0
906.0,661.0
909.0,663.0
914.0,667.0
919.0,668.0
927.0,678.0
927.0,673.0
934.0,679.0
944.0,687.0
950.0,695.0
958.0,707.0
963.0,715.0
969.0,722.0
975.0,728.0
983.0,736.0
990.0,743.0
996.0,750.0
1001.0,755.0
412.0,145.0
403.0,126.0
389.0,116.0
379.0,96.0
375.0,103.0
369.0,87.0
361.0,84.0
354.0,78.0
342.0,64.0
337.0,60.0
793.0,565.0
787.0,564.0
796.0,575.0
804.0,583.0
